image_path,label
_day09_image_data\images\horizontal_066.png,horizontal
_day09_image_data\images\vertical_009.png,vertical
_day09_image_data\images\diagonal_065.png,diagonal
_day09_image_data\images\diagonal_043.png,diagonal
_day09_image_data\images\horizontal_049.png,horizontal
_day09_image_data\images\horizontal_036.png,horizontal
_day09_image_data\images\diagonal_013.png,diagonal
_day09_image_data\images\diagonal_072.png,diagonal
_day09_image_data\images\diagonal_011.png,diagonal
_day09_image_data\images\horizontal_058.png,horizontal
_day09_image_data\images\vertical_030.png,vertical
_day09_image_data\images\vertical_070.png,vertical
_day09_image_data\images\horizontal_032.png,horizontal
_day09_image_data\images\horizontal_022.png,horizontal
_day09_image_data\images\horizontal_037.png,horizontal
_day09_image_data\images\horizontal_072.png,horizontal
_day09_image_data\images\diagonal_061.png,diagonal
_day09_image_data\images\vertical_048.png,vertical
_day09_image_data\images\vertical_001.png,vertical
_day09_image_data\images\diagonal_078.png,diagonal
_day09_image_data\images\horizontal_035.png,horizontal
_day09_image_data\images\diagonal_038.png,diagonal
_day09_image_data\images\diagonal_067.png,diagonal
_day09_image_data\images\vertical_011.png,vertical
_day09_image_data\images\diagonal_039.png,diagonal
_day09_image_data\images\vertical_032.png,vertical
_day09_image_data\images\horizontal_012.png,horizontal
_day09_image_data\images\vertical_026.png,vertical
_day09_image_data\images\diagonal_018.png,diagonal
_day09_image_data\images\diagonal_012.png,diagonal
_day09_image_data\images\vertical_051.png,vertical
_day09_image_data\images\vertical_058.png,vertical
_day09_image_data\images\horizontal_034.png,horizontal
_day09_image_data\images\horizontal_011.png,horizontal
_day09_image_data\images\vertical_052.png,vertical
_day09_image_data\images\diagonal_058.png,diagonal
_day09_image_data\images\horizontal_056.png,horizontal
_day09_image_data\images\diagonal_049.png,diagonal
_day09_image_data\images\diagonal_031.png,diagonal
_day09_image_data\images\diagonal_007.png,diagonal
_day09_image_data\images\horizontal_018.png,horizontal
_day09_image_data\images\diagonal_073.png,diagonal
_day09_image_data\images\vertical_054.png,vertical
_day09_image_data\images\diagonal_029.png,diagonal
_day09_image_data\images\vertical_073.png,vertical
_day09_image_data\images\vertical_000.png,vertical
_day09_image_data\images\horizontal_073.png,horizontal
_day09_image_data\images\diagonal_076.png,diagonal
_day09_image_data\images\horizontal_067.png,horizontal
_day09_image_data\images\vertical_074.png,vertical
_day09_image_data\images\diagonal_048.png,diagonal
_day09_image_data\images\diagonal_074.png,diagonal
_day09_image_data\images\diagonal_063.png,diagonal
_day09_image_data\images\vertical_064.png,vertical
_day09_image_data\images\horizontal_055.png,horizontal
_day09_image_data\images\horizontal_007.png,horizontal
_day09_image_data\images\diagonal_005.png,diagonal
_day09_image_data\images\horizontal_000.png,horizontal
_day09_image_data\images\vertical_053.png,vertical
_day09_image_data\images\vertical_069.png,vertical
_day09_image_data\images\vertical_007.png,vertical
_day09_image_data\images\vertical_049.png,vertical
_day09_image_data\images\horizontal_048.png,horizontal
_day09_image_data\images\diagonal_024.png,diagonal
_day09_image_data\images\vertical_016.png,vertical
_day09_image_data\images\diagonal_046.png,diagonal
_day09_image_data\images\vertical_067.png,vertical
_day09_image_data\images\vertical_006.png,vertical
_day09_image_data\images\horizontal_028.png,horizontal
_day09_image_data\images\horizontal_074.png,horizontal
_day09_image_data\images\diagonal_028.png,diagonal
_day09_image_data\images\horizontal_020.png,horizontal
_day09_image_data\images\vertical_018.png,vertical
_day09_image_data\images\horizontal_005.png,horizontal
_day09_image_data\images\vertical_031.png,vertical
_day09_image_data\images\vertical_060.png,vertical
_day09_image_data\images\diagonal_026.png,diagonal
_day09_image_data\images\horizontal_051.png,horizontal
_day09_image_data\images\vertical_003.png,vertical
_day09_image_data\images\diagonal_047.png,diagonal
_day09_image_data\images\horizontal_061.png,horizontal
_day09_image_data\images\horizontal_068.png,horizontal
_day09_image_data\images\horizontal_069.png,horizontal
_day09_image_data\images\vertical_079.png,vertical
_day09_image_data\images\vertical_059.png,vertical
_day09_image_data\images\horizontal_021.png,horizontal
_day09_image_data\images\vertical_012.png,vertical
_day09_image_data\images\horizontal_033.png,horizontal
_day09_image_data\images\horizontal_038.png,horizontal
_day09_image_data\images\horizontal_063.png,horizontal
_day09_image_data\images\vertical_050.png,vertical
_day09_image_data\images\diagonal_051.png,diagonal
_day09_image_data\images\diagonal_062.png,diagonal
_day09_image_data\images\diagonal_050.png,diagonal
_day09_image_data\images\vertical_024.png,vertical
_day09_image_data\images\diagonal_001.png,diagonal
_day09_image_data\images\vertical_038.png,vertical
_day09_image_data\images\horizontal_070.png,horizontal
_day09_image_data\images\horizontal_006.png,horizontal
_day09_image_data\images\diagonal_035.png,diagonal
_day09_image_data\images\horizontal_043.png,horizontal
_day09_image_data\images\vertical_055.png,vertical
_day09_image_data\images\vertical_056.png,vertical
_day09_image_data\images\vertical_077.png,vertical
_day09_image_data\images\diagonal_053.png,diagonal
_day09_image_data\images\vertical_047.png,vertical
_day09_image_data\images\vertical_021.png,vertical
_day09_image_data\images\vertical_071.png,vertical
_day09_image_data\images\horizontal_042.png,horizontal
_day09_image_data\images\vertical_004.png,vertical
_day09_image_data\images\diagonal_054.png,diagonal
_day09_image_data\images\horizontal_031.png,horizontal
_day09_image_data\images\diagonal_008.png,diagonal
_day09_image_data\images\vertical_019.png,vertical
_day09_image_data\images\diagonal_021.png,diagonal
_day09_image_data\images\horizontal_071.png,horizontal
_day09_image_data\images\horizontal_078.png,horizontal
_day09_image_data\images\horizontal_062.png,horizontal
_day09_image_data\images\vertical_072.png,vertical
_day09_image_data\images\diagonal_064.png,diagonal
_day09_image_data\images\vertical_033.png,vertical
_day09_image_data\images\horizontal_079.png,horizontal
_day09_image_data\images\vertical_027.png,vertical
_day09_image_data\images\horizontal_053.png,horizontal
_day09_image_data\images\vertical_068.png,vertical
_day09_image_data\images\horizontal_041.png,horizontal
_day09_image_data\images\vertical_005.png,vertical
_day09_image_data\images\vertical_036.png,vertical
_day09_image_data\images\horizontal_039.png,horizontal
_day09_image_data\images\vertical_025.png,vertical
_day09_image_data\images\diagonal_071.png,diagonal
_day09_image_data\images\diagonal_055.png,diagonal
_day09_image_data\images\vertical_040.png,vertical
_day09_image_data\images\vertical_014.png,vertical
_day09_image_data\images\diagonal_059.png,diagonal
_day09_image_data\images\diagonal_044.png,diagonal
_day09_image_data\images\diagonal_033.png,diagonal
_day09_image_data\images\vertical_043.png,vertical
_day09_image_data\images\diagonal_034.png,diagonal
_day09_image_data\images\diagonal_023.png,diagonal
_day09_image_data\images\horizontal_047.png,horizontal
_day09_image_data\images\diagonal_015.png,diagonal
_day09_image_data\images\horizontal_009.png,horizontal
_day09_image_data\images\vertical_078.png,vertical
_day09_image_data\images\horizontal_076.png,horizontal
_day09_image_data\images\horizontal_010.png,horizontal
_day09_image_data\images\diagonal_069.png,diagonal
_day09_image_data\images\vertical_028.png,vertical
_day09_image_data\images\vertical_034.png,vertical
_day09_image_data\images\diagonal_066.png,diagonal
_day09_image_data\images\horizontal_065.png,horizontal
_day09_image_data\images\diagonal_057.png,diagonal
_day09_image_data\images\diagonal_002.png,diagonal
_day09_image_data\images\diagonal_056.png,diagonal
_day09_image_data\images\horizontal_013.png,horizontal
_day09_image_data\images\diagonal_040.png,diagonal
_day09_image_data\images\vertical_035.png,vertical
_day09_image_data\images\diagonal_041.png,diagonal
_day09_image_data\images\vertical_065.png,vertical
_day09_image_data\images\horizontal_044.png,horizontal
_day09_image_data\images\diagonal_068.png,diagonal
_day09_image_data\images\vertical_013.png,vertical
_day09_image_data\images\horizontal_026.png,horizontal
_day09_image_data\images\horizontal_002.png,horizontal
_day09_image_data\images\horizontal_008.png,horizontal
_day09_image_data\images\vertical_046.png,vertical
_day09_image_data\images\vertical_037.png,vertical
_day09_image_data\images\horizontal_024.png,horizontal
_day09_image_data\images\horizontal_027.png,horizontal
_day09_image_data\images\vertical_015.png,vertical
_day09_image_data\images\diagonal_030.png,diagonal
_day09_image_data\images\horizontal_014.png,horizontal
_day09_image_data\images\diagonal_006.png,diagonal
_day09_image_data\images\horizontal_046.png,horizontal
_day09_image_data\images\diagonal_070.png,diagonal
_day09_image_data\images\horizontal_064.png,horizontal
_day09_image_data\images\vertical_061.png,vertical
_day09_image_data\images\vertical_039.png,vertical
_day09_image_data\images\horizontal_050.png,horizontal
_day09_image_data\images\vertical_017.png,vertical
_day09_image_data\images\horizontal_017.png,horizontal
_day09_image_data\images\diagonal_022.png,diagonal
_day09_image_data\images\diagonal_009.png,diagonal
_day09_image_data\images\vertical_010.png,vertical
_day09_image_data\images\vertical_008.png,vertical
_day09_image_data\images\horizontal_030.png,horizontal
_day09_image_data\images\horizontal_077.png,horizontal
_day09_image_data\images\vertical_029.png,vertical
_day09_image_data\images\diagonal_079.png,diagonal
_day09_image_data\images\vertical_062.png,vertical
_day09_image_data\images\diagonal_003.png,diagonal
_day09_image_data\images\vertical_066.png,vertical
_day09_image_data\images\horizontal_059.png,horizontal
_day09_image_data\images\horizontal_004.png,horizontal
_day09_image_data\images\diagonal_036.png,diagonal
_day09_image_data\images\horizontal_015.png,horizontal
_day09_image_data\images\diagonal_016.png,diagonal
_day09_image_data\images\diagonal_032.png,diagonal
_day09_image_data\images\diagonal_020.png,diagonal
_day09_image_data\images\diagonal_017.png,diagonal
_day09_image_data\images\horizontal_001.png,horizontal
_day09_image_data\images\diagonal_025.png,diagonal
_day09_image_data\images\horizontal_003.png,horizontal
_day09_image_data\images\vertical_075.png,vertical
_day09_image_data\images\vertical_076.png,vertical
_day09_image_data\images\horizontal_016.png,horizontal
_day09_image_data\images\diagonal_027.png,diagonal
_day09_image_data\images\diagonal_042.png,diagonal
_day09_image_data\images\diagonal_060.png,diagonal
_day09_image_data\images\diagonal_052.png,diagonal
_day09_image_data\images\diagonal_045.png,diagonal
_day09_image_data\images\vertical_023.png,vertical
_day09_image_data\images\diagonal_004.png,diagonal
_day09_image_data\images\vertical_042.png,vertical
