image_path,label,split
images/circle_00.png,circle,train
images/circle_01.png,circle,train
images/circle_02.png,circle,train
images/circle_03.png,circle,train
images/circle_04.png,circle,train
images/circle_05.png,circle,train
images/circle_06.png,circle,train
images/circle_07.png,circle,train
images/circle_08.png,circle,val
images/circle_09.png,circle,val
images/square_00.png,square,train
images/square_01.png,square,train
images/square_02.png,square,train
images/square_03.png,square,train
images/square_04.png,square,train
images/square_05.png,square,train
images/square_06.png,square,train
images/square_07.png,square,train
images/square_08.png,square,val
images/square_09.png,square,val
images/triangle_00.png,triangle,train
images/triangle_01.png,triangle,train
images/triangle_02.png,triangle,train
images/triangle_03.png,triangle,train
images/triangle_04.png,triangle,train
images/triangle_05.png,triangle,train
images/triangle_06.png,triangle,train
images/triangle_07.png,triangle,train
images/triangle_08.png,triangle,val
images/triangle_09.png,triangle,val
